t=2026-01-20T17:00:45+0530 lvl=info msg="open config file" path=C:\\Users\\shres\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-01-20T17:00:45+0530 lvl=info msg="open config file" path=D:\\ai-resume\\resume-matcher-main\\ngrok-tunnels.yml err=nil
t=2026-01-20T17:00:45+0530 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-01-20T17:00:45+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-01-20T17:00:45+0530 lvl=info msg="client session established" obj=tunnels.session
t=2026-01-20T17:00:45+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-01-20T17:06:15+0530 lvl=info msg="join connections" obj=join id=c0726bead649 l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:55855
t=2026-01-20T17:06:15+0530 lvl=info msg="join connections" obj=join id=81cc5b7745a0 l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:55855
t=2026-01-20T17:06:15+0530 lvl=info msg="join connections" obj=join id=c3867c942d04 l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:55855
t=2026-01-20T17:06:15+0530 lvl=info msg="join connections" obj=join id=70717af1807b l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:55855
t=2026-01-20T17:06:15+0530 lvl=info msg="join connections" obj=join id=ae6d999a508f l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:55855
t=2026-01-20T17:06:15+0530 lvl=info msg="join connections" obj=join id=037c0d2b70b0 l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:55855
t=2026-01-20T17:06:15+0530 lvl=info msg="join connections" obj=join id=a3deec6b1013 l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:55855
t=2026-01-20T17:06:15+0530 lvl=info msg="join connections" obj=join id=d09cc07db195 l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:55855
t=2026-01-20T17:06:15+0530 lvl=info msg="join connections" obj=join id=a9dd4288c631 l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:55855
t=2026-01-20T17:06:15+0530 lvl=info msg="join connections" obj=join id=22de2475e6a7 l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:55855
t=2026-01-20T17:06:15+0530 lvl=info msg="join connections" obj=join id=610e8dd9707e l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:55855
t=2026-01-20T17:06:15+0530 lvl=info msg="join connections" obj=join id=4fd2f148d084 l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:55855
t=2026-01-20T17:06:15+0530 lvl=info msg="join connections" obj=join id=bad72042cf71 l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:55855
t=2026-01-20T17:06:15+0530 lvl=info msg="join connections" obj=join id=de6b6b961819 l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:55855
t=2026-01-20T17:06:15+0530 lvl=info msg="join connections" obj=join id=a869a8758d9a l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:55855
t=2026-01-20T17:06:15+0530 lvl=info msg="join connections" obj=join id=90e1bb760c0d l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:55855
t=2026-01-20T17:06:15+0530 lvl=info msg="join connections" obj=join id=3c8b9fe8b8c9 l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:55855
t=2026-01-20T17:06:16+0530 lvl=info msg="join connections" obj=join id=ec6f54d3a7e7 l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:57762
t=2026-01-20T17:06:17+0530 lvl=info msg="join connections" obj=join id=483d919cd86a l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:55855
t=2026-01-20T17:06:48+0530 lvl=info msg="join connections" obj=join id=982b530b8019 l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:55855
t=2026-01-20T17:06:48+0530 lvl=info msg="join connections" obj=join id=44e23141facd l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:55855
t=2026-01-20T17:06:48+0530 lvl=info msg="join connections" obj=join id=389b7fe5fd76 l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:55855
t=2026-01-20T17:06:48+0530 lvl=info msg="join connections" obj=join id=927359a88ce9 l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:55855
t=2026-01-20T17:06:48+0530 lvl=info msg="join connections" obj=join id=214748c86757 l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:55855
t=2026-01-20T17:06:48+0530 lvl=info msg="join connections" obj=join id=8290fa789fb4 l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:55855
t=2026-01-20T17:06:48+0530 lvl=info msg="join connections" obj=join id=9241221c3369 l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:55855
t=2026-01-20T17:06:48+0530 lvl=info msg="join connections" obj=join id=c71bcd22209f l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:55855
t=2026-01-20T17:06:48+0530 lvl=info msg="join connections" obj=join id=86f014e8d4d3 l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:55855
t=2026-01-20T17:06:48+0530 lvl=info msg="join connections" obj=join id=f47c6294a54d l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:55855
t=2026-01-20T17:06:48+0530 lvl=info msg="join connections" obj=join id=c177b11db74c l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:55855
t=2026-01-20T17:06:48+0530 lvl=info msg="join connections" obj=join id=e783271d2b76 l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:55855
t=2026-01-20T17:06:48+0530 lvl=info msg="join connections" obj=join id=5991ac7b3f24 l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:55855
t=2026-01-20T17:06:48+0530 lvl=info msg="join connections" obj=join id=03a04de800a2 l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:55855
